"","ISO","year","meanHumid","meanHumid2","medHumid","medHumid2","meanPET","medPET","cubM_precip"
"1364","IND","1950",0.635211900006729,0.635211900006729,0.141350037931743,0.141350037931743,160.161573715455,154.332298278809,99975374833.4427
"1365","IND","1960",0.607296405072206,0.607296405072206,0.140200900873854,0.140200900873854,160.312004893454,154.215682983398,97746152975.2386
"1366","IND","1970",0.702946687896638,0.702946687896638,0.212113495091153,0.212113495091153,157.882578186103,153.172149658203,114405322545.783
"1367","IND","1980",0.621968491429565,0.621968491429565,0.142749352200754,0.142749352200754,159.26731550825,154.107261657715,100104081674.208
"1368","IND","1985",0.608318218224545,0.608318218224545,0.175930188932009,0.175930188932009,159.602776600878,153.511009216309,98171654152.7303
"1369","IND","1990",0.729602837320504,0.729602837320504,0.25193729979373,0.25193729979373,156.396861282688,151.493690490723,116497768629.676
"1370","IND","1995",0.643002040319079,0.643002040319079,0.184816461705798,0.184816461705798,159.284886570209,154.850105285645,102917543591.965
"1371","IND","2000",0.562800260227899,0.562800260227899,0.123891541507229,0.123891541507229,162.040315371905,157.858909606934,92937115723.1324
"1372","IND","2005",0.646386819759407,0.646386819759407,0.171284633025353,0.171284633025353,158.356109235258,152.092735290527,102705923855.156
"1373","IOT","1901",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1374","IOT","1910",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1375","IOT","1920",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1376","IOT","1930",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1377","IOT","1940",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1378","IOT","1950",1.35651326568771,1.35651326568771,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207056909.681343
"1379","IOT","1960",1.49838295362018,1.49838295362018,1.47904306747298,1.47904306747298,148.062595367432,152.710418701172,228358876.786537
"1380","IOT","1970",1.46572555154615,1.46572555154615,1.50473768920492,1.50473768920492,148.062595367432,152.710418701172,224688466.513605
"1381","IOT","1980",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1382","IOT","1985",1.277899154832,1.277899154832,1.16705377732851,1.16705377732851,148.062595367432,152.710418701172,196068628.861292
"1383","IOT","1990",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
